,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
68,Nickelback,Woke up This Morning,1aHctSLsRl8bo7fDC113Su,4,2.74e-05,0.446,230227,0.885,0.00116,5,0.0398,-5.466,1,0.0389,176.085,4,0.57
69,Saliva,They Don't Care About Us,2yhpa4tgc5SeM6ErBm26fK,61,0.00119,0.488,244040,0.899,0.0,7,0.0497,-3.673,1,0.0532,179.826,4,0.638
70,Metallica,Ride The Lightning - Remastered,2O7UGwJPVlix15Wn4sa5vw,55,5.67e-05,0.237,396987,0.976,0.112,9,0.249,-6.085,1,0.168,148.172,4,0.27
71,Five Finger Death Punch,Bulletproof,5oahsjKQlFfrKvyxsp3diX,44,4.53e-06,0.487,196413,0.973,0.0263,6,0.206,-3.584,1,0.16,148.041,4,0.26
72,Good Charlotte,The River,1eylM8qwVdD1AXDy3vjSgT,60,0.00677,0.439,195680,0.945,0.0,1,0.166,-2.21,1,0.138,161.954,4,0.455
73,Kid Rock,Born Free,6x0jeG72v8tYQfpfox6dWh,46,0.00637,0.592,264533,0.917,1.3e-06,9,0.112,-1.278,1,0.0275,127.439,4,0.682
74,KISS,Say Yeah,3HsOzUaQuOg5leYZob7pPj,2,0.00378,0.459,268573,0.921,0.0,3,0.0906,-5.973,0,0.0503,122.907,4,0.642
75,Accept,Balls to the Wall,28sMmBCmfHoy6NjZnovEYG,52,0.00392,0.544,342600,0.739,0.000143,9,0.168,-7.383,1,0.0517,118.287,4,0.328
76,Hammerfall,Glory to the Brave,62X5sod2AjRJRlOwPHRYSf,40,0.045,0.469,440240,0.65,0.00111,2,0.231,-9.22,0,0.0344,123.928,4,0.221
77,Nickelback,Trying Not To Love You,4Dq75eGDLZGM9EGP0XHbo2,60,0.0132,0.473,251880,0.924,0.0,11,0.184,-4.297,0,0.0446,160.017,4,0.41
78,Rammstein,MUTTER,3l1cyWLHTAcuOiAY1uy8pQ,48,0.0023,0.267,268667,0.618,0.00479,4,0.133,-6.874,1,0.0406,116.07,4,0.0904
79,Manowar,Carry On,4S47FRAZ3VcyZS87FnQtmk,50,0.000389,0.497,252693,0.904,0.00122,4,0.0939,-9.442,1,0.067,87.862,4,0.429
