,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2357,Twenty One Pilots,Levitate,2uBhGx3m5iJrtsql8Qk00j,73,0.0857,0.7,145947,0.934,0.226,6,0.114,-5.941,0,0.17,92.973,4,0.224
2358,The Minds Of 99,Solkongen,35C2waltlc5ymcJuBayTDg,50,0.772,0.374,194451,0.427,0.000198,2,0.121,-7.552,1,0.0285,140.428,3,0.257
2359,Pink Panda,Love It Like That (feat. Nyanda),6flP4UZGozZGQk8rpE09g4,58,0.14,0.763,161665,0.926,0.0,6,0.326,-2.907,0,0.116,118.934,4,0.878
2360,Tom Odell,You're Gonna Break My Heart Tonight,5y9b65dSxULwCiQRLgzO21,63,0.784,0.287,278766,0.292,0.000723,5,0.0879,-8.32,0,0.028,86.736,4,0.142
2361,Cheat Codes,Only You (with Little Mix),54l9GJGQ1UCFKe2tzt1Vxt,77,0.0829,0.607,189401,0.74,0.0,4,0.105,-4.793,0,0.172,108.05,4,0.219
2362,G-Eazy,1942,794QVQtFNy7hvtjQP1keQd,76,0.0152,0.817,213080,0.646,0.0,4,0.125,-5.12,0,0.249,162.898,4,0.835
2363,Yung Pinch,When I Get Home (Hotel California),76ARBVsPT9Cg0aAO0CFno8,54,0.406,0.729,203813,0.698,0.0,5,0.108,-4.986,0,0.0545,131.966,4,0.466
2364,J. Cole,KOD,7yotKA30dwTKNEGomV9ZsI,80,0.21,0.831,191437,0.782,0.0,0,0.113,-6.274,1,0.15,141.869,4,0.199
2365,Drake,Summer Games,4HG1YiGBseVKzjyKcmAJen,70,0.477,0.775,247893,0.482,0.0456,1,0.11,-11.269,1,0.0357,136.016,4,0.134
2366,lovelytheband,broken,6XcfKZvJio9Z0fQy11GnNX,78,0.00175,0.666,204878,0.728,4.26e-06,7,0.0429,-5.808,1,0.0419,122.996,4,0.51
2367,Basim,Tanker,5ymEfUAPIIzVTTFBYMp1Bd,43,0.219,0.647,195320,0.534,0.0,11,0.189,-6.88,1,0.0696,132.194,4,0.265
2368,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,81,0.0079,0.825,175954,0.572,0.0,6,0.113,-6.067,0,0.0864,141.991,4,0.568
2369,Rejjie Snow,23,1r3M82sqImOu3AUwRdELRT,63,0.276,0.803,181613,0.637,1.68e-05,4,0.22,-7.191,0,0.105,97.032,4,0.5
